n,fanout,ttl,peer_limit,hybrid,pow_enabled,pow_k,seed,n_nodes_actual,coverage_pct,convergence_time_ms,message_overhead,pow_mean_ms,pow_std_ms
20,3,8,20,False,True,4,1,20,100.0,1,68,22.15,22.987550978736294
20,3,8,20,False,True,4,2,20,95.0,3,84,23.6,17.81965207292219
20,3,8,20,False,True,4,3,20,100.0,2,120,20.05,22.103110640812528
20,3,8,20,False,True,5,1,20,100.0,2,85,312.4,237.56649595429067
20,3,8,20,False,True,5,2,20,100.0,2,107,404.7,280.17960311200386
20,3,8,20,False,True,5,3,20,95.0,2,71,319.15,255.46100974512726
20,3,8,20,False,True,6,1,20,35.0,,43367,11159.7,7043.962010828848
20,3,8,20,False,True,6,2,18,38.9,,41753,11369.666666666666,6368.020981609768
20,3,8,20,False,True,6,3,19,52.6,,37694,7172.526315789473,4248.37579327517
