n,fanout,ttl,peer_limit,seed,n_nodes_actual,coverage_pct,convergence_time_ms,message_overhead
10,3,8,20,1,30,33.3,,1813
10,3,8,20,2,30,33.3,,5016
10,3,8,20,3,20,50.0,,1833
10,3,8,20,4,20,50.0,,450
10,3,8,20,5,20,50.0,,1833
20,3,8,20,1,40,47.5,,1691
20,3,8,20,2,40,50.0,,1694
20,3,8,20,3,40,47.5,,8547
20,3,8,20,4,40,47.5,,1691
20,3,8,20,5,40,47.5,,8553
50,3,8,20,1,100,49.0,,46648
50,3,8,20,2,100,49.0,,10997
50,3,8,20,3,100,46.0,,10988
50,3,8,20,4,100,47.0,,10988
50,3,8,20,5,100,44.0,,46600
